iter	Passed	Remaining
0	168	167949
1	168	84317
2	169	56400
3	171	42609
4	172	34258
5	173	28725
6	174	24714
7	174	21680
8	175	19317
9	176	17440
10	177	15952
11	178	14661
12	178	13574
13	179	12668
14	180	11860
15	181	11143
16	181	10509
17	182	9943
18	182	9437
19	183	8982
20	184	8580
21	185	8237
22	186	7907
23	187	7610
24	187	7328
25	188	7061
26	189	6812
27	189	6582
28	190	6367
29	190	6167
30	191	5985
31	192	5817
32	192	5654
33	193	5511
34	194	5370
35	195	5233
36	196	5105
37	196	4981
38	197	4863
39	197	4749
40	198	4646
41	199	4552
42	200	4455
43	200	4366
44	202	4291
45	203	4213
46	203	4132
47	204	4053
48	204	3978
49	205	3905
50	206	3838
51	207	3776
52	207	3715
53	209	3665
54	210	3610
55	210	3554
56	211	3502
57	212	3449
58	212	3397
59	213	3347
60	215	3313
61	216	3274
62	217	3231
63	217	3187
64	218	3143
65	219	3101
66	219	3059
67	220	3018
68	221	2985
69	222	2949
70	223	2922
71	224	2894
72	225	2861
73	225	2827
74	226	2796
75	227	2764
76	228	2744
77	229	2717
78	230	2691
79	231	2666
80	232	2641
81	233	2613
82	233	2582
83	234	2555
84	235	2531
85	236	2509
86	236	2485
87	237	2463
88	238	2442
89	239	2420
90	239	2397
91	241	2379
92	241	2357
93	242	2337
94	243	2320
95	244	2300
96	245	2283
97	246	2268
98	247	2250
99	247	2231
100	248	2212
101	249	2193
102	249	2174
103	250	2161
104	251	2145
105	252	2130
106	253	2117
107	255	2107
108	255	2090
109	256	2074
110	257	2059
111	258	2051
112	259	2037
113	260	2026
114	261	2013
115	262	2000
116	263	1986
117	263	1972
118	264	1959
119	265	1949
120	266	1935
121	267	1922
122	268	1916
123	269	1906
124	270	1893
125	271	1881
126	271	1869
127	272	1858
128	273	1847
129	274	1838
130	275	1830
131	277	1821
132	277	1810
133	278	1798
134	279	1789
135	280	1780
136	281	1770
137	283	1770
138	285	1765
139	285	1755
140	286	1747
141	287	1736
142	288	1727
143	289	1720
144	290	1714
145	291	1704
146	292	1695
147	293	1686
148	294	1683
149	297	1688
150	298	1679
151	299	1669
152	300	1660
153	301	1653
154	301	1644
155	302	1639
156	304	1635
157	305	1629
158	306	1621
159	307	1613
160	308	1609
161	310	1604
162	311	1600
163	312	1594
164	313	1586
165	315	1586
166	317	1581
167	318	1578
168	319	1571
169	320	1564
170	321	1560
171	322	1553
172	324	1549
173	325	1545
174	326	1539
175	327	1531
176	328	1527
177	329	1519
178	329	1513
179	331	1508
180	332	1502
181	332	1495
182	333	1488
183	334	1481
184	335	1476
185	336	1470
186	337	1468
187	339	1466
188	340	1459
189	340	1451
190	341	1445
191	342	1441
192	343	1434
193	344	1429
194	346	1428
195	347	1425
196	348	1421
197	349	1416
198	350	1410
199	351	1405
200	352	1401
201	353	1395
202	353	1389
203	354	1383
204	355	1377
205	356	1372
206	356	1367
207	357	1361
208	358	1354
209	358	1349
210	359	1343
211	360	1341
212	362	1338
213	363	1333
214	364	1330
215	365	1326
216	367	1324
217	369	1326
218	370	1322
219	371	1318
220	372	1313
221	373	1310
222	375	1307
223	376	1305
224	378	1302
225	379	1299
226	380	1295
227	382	1296
228	383	1292
229	385	1290
230	386	1287
231	387	1282
232	389	1281
233	390	1279
234	391	1275
235	393	1272
236	394	1268
237	395	1264
238	396	1262
239	397	1258
240	397	1253
241	398	1248
242	399	1244
243	400	1241
244	401	1237
245	403	1235
246	405	1234
247	405	1230
248	406	1226
249	407	1222
250	408	1218
251	409	1214
252	410	1211
253	411	1207
254	411	1203
255	412	1198
256	413	1194
257	413	1190
258	414	1186
259	415	1182
260	416	1178
261	417	1177
262	418	1173
263	419	1169
264	420	1165
265	421	1161
266	422	1159
267	423	1155
268	424	1153
269	425	1151
270	426	1147
271	427	1143
272	427	1139
273	428	1135
274	429	1132
275	430	1128
276	432	1128
277	434	1128
278	435	1124
279	436	1123
280	437	1120
281	439	1118
282	440	1115
283	441	1112
284	442	1108
285	443	1107
286	444	1104
287	445	1102
288	447	1100
289	448	1098
290	449	1094
291	450	1091
292	450	1088
293	451	1084
294	452	1082
295	453	1079
